10	-1.000000	2
10	-3.000000	5
10	-5.000000	9
10	-7.000000	12
10	-9.000000	16
10	-11.000000	20
10	-13.000000	23
10	-15.000000	27
20	-1.000000	2
20	-3.000000	5
20	-5.000000	7
20	-7.000000	10
20	-9.000000	13
20	-11.000000	16
20	-13.000000	19
20	-15.000000	22
30	-1.000000	2
30	-3.000000	5
30	-5.000000	7
30	-7.000000	10
30	-9.000000	13
30	-11.000000	15
30	-13.000000	18
30	-15.000000	21
40	-1.000000	2
40	-3.000000	4
40	-5.000000	7
40	-7.000000	9
40	-9.000000	12
40	-11.000000	14
40	-13.000000	17
40	-15.000000	19
50	-1.000000	2
50	-3.000000	4
50	-5.000000	7
50	-7.000000	9
50	-9.000000	11
50	-11.000000	14
50	-13.000000	16
50	-15.000000	19
60	-1.000000	2
60	-3.000000	4
60	-5.000000	6
60	-7.000000	9
60	-9.000000	11
60	-11.000000	13
60	-13.000000	15
60	-15.000000	18
70	-1.000000	2
70	-3.000000	4
70	-5.000000	6
70	-7.000000	8
70	-9.000000	11
70	-11.000000	13
70	-13.000000	15
70	-15.000000	17
80	-1.000000	2
80	-3.000000	4
80	-5.000000	6
80	-7.000000	8
80	-9.000000	10
80	-11.000000	12
80	-13.000000	14
80	-15.000000	16
90	-1.000000	2
90	-3.000000	4
90	-5.000000	6
90	-7.000000	8
90	-9.000000	10
90	-11.000000	12
90	-13.000000	14
90	-15.000000	16
100	-1.000000	2
100	-3.000000	4
100	-5.000000	6
100	-7.000000	8
100	-9.000000	10
100	-11.000000	12
100	-13.000000	14
100	-15.000000	16
