10	-1.000000	2
10	-3.000000	5
10	-5.000000	9
10	-7.000000	12
10	-9.000000	16
10	-11.000000	20
10	-13.000000	23
10	-15.000000	27
20	-1.000000	2
20	-3.000000	5
20	-5.000000	7
20	-7.000000	10
20	-9.000000	13
20	-11.000000	16
20	-13.000000	19
20	-15.000000	22
30	-1.000000	2
30	-3.000000	5
30	-5.000000	7
30	-7.000000	10
30	-9.000000	13
30	-11.000000	15
30	-13.000000	18
30	-15.000000	21
40	-1.000000	2
40	-3.000000	4
40	-5.000000	7
40	-7.000000	9
40	-9.000000	12
40	-11.000000	14
40	-13.000000	17
40	-15.000000	19
50	-1.000000	2
50	-3.000000	4
50	-5.000000	7
50	-7.000000	9
50	-9.000000	11
50	-11.000000	14
50	-13.000000	16
50	-15.000000	19
60	-1.000000	2
60	-3.000000	4
60	-5.000000	6
60	-7.000000	9
60	-9.000000	11
60	-11.000000	13
60	-13.000000	15
60	-15.000000	18
70	-1.000000	2
70	-3.000000	4
70	-5.000000	6
70	-7.000000	8
70	-9.000000	11
70	-11.000000	13
70	-13.000000	15
70	-15.000000	17
80	-1.000000	2
80	-3.000000	4
80	-5.000000	6
80	-7.000000	8
80	-9.000000	10
80	-11.000000	12
80	-13.000000	14
80	-15.000000	16
90	-1.000000	2
90	-3.000000	4
90	-5.000000	6
90	-7.000000	8
90	-9.000000	10
90	-11.000000	12
90	-13.000000	14
90	-15.000000	16
100	-1.000000	2
100	-3.000000	4
100	-5.000000	6
100	-7.000000	8
100	-9.000000	10
100	-11.000000	12
100	-13.000000	14
100	-15.000000	16
510	-1.000000	2
510	-3.000000	3
510	-5.000000	5
510	-7.000000	6
510	-9.000000	8
510	-11.000000	9
510	-13.000000	11
510	-15.000000	12
1010	-1.000000	2
1010	-3.000000	3
1010	-5.000000	4
1010	-7.000000	6
1010	-9.000000	7
1010	-11.000000	8
1010	-13.000000	10
1010	-15.000000	11
1510	-1.000000	2
1510	-3.000000	3
1510	-5.000000	4
1510	-7.000000	6
1510	-9.000000	7
1510	-11.000000	8
1510	-13.000000	9
1510	-15.000000	11
2010	-1.000000	2
2010	-3.000000	3
2010	-5.000000	4
2010	-7.000000	5
2010	-9.000000	7
2010	-11.000000	8
2010	-13.000000	9
2010	-15.000000	10
2510	-1.000000	2
2510	-3.000000	3
2510	-5.000000	4
2510	-7.000000	5
2510	-9.000000	6
2510	-11.000000	8
2510	-13.000000	9
2510	-15.000000	10
3010	-1.000000	2
3010	-3.000000	3
3010	-5.000000	4
3010	-7.000000	5
3010	-9.000000	6
3010	-11.000000	7
3010	-13.000000	9
3010	-15.000000	10
3510	-1.000000	2
3510	-3.000000	3
3510	-5.000000	4
3510	-7.000000	5
3510	-9.000000	6
3510	-11.000000	7
3510	-13.000000	8
3510	-15.000000	10
4010	-1.000000	2
4010	-3.000000	3
4010	-5.000000	4
4010	-7.000000	5
4010	-9.000000	6
4010	-11.000000	7
4010	-13.000000	8
4010	-15.000000	10
4510	-1.000000	2
4510	-3.000000	3
4510	-5.000000	4
4510	-7.000000	5
4510	-9.000000	6
4510	-11.000000	7
4510	-13.000000	8
4510	-15.000000	10
5010	-1.000000	2
5010	-3.000000	3
5010	-5.000000	4
5010	-7.000000	5
5010	-9.000000	6
5010	-11.000000	7
5010	-13.000000	8
5010	-15.000000	10
5510	-1.000000	2
5510	-3.000000	3
5510	-5.000000	4
5510	-7.000000	5
5510	-9.000000	6
5510	-11.000000	7
5510	-13.000000	8
5510	-15.000000	10
6010	-1.000000	2
6010	-3.000000	3
6010	-5.000000	4
6010	-7.000000	5
6010	-9.000000	6
6010	-11.000000	7
6010	-13.000000	8
6010	-15.000000	9
6510	-1.000000	2
6510	-3.000000	3
6510	-5.000000	4
6510	-7.000000	5
6510	-9.000000	6
6510	-11.000000	7
6510	-13.000000	8
6510	-15.000000	9
7010	-1.000000	2
7010	-3.000000	3
7010	-5.000000	4
7010	-7.000000	5
7010	-9.000000	6
7010	-11.000000	7
7010	-13.000000	8
7010	-15.000000	9
7510	-1.000000	2
7510	-3.000000	3
7510	-5.000000	4
7510	-7.000000	5
7510	-9.000000	6
7510	-11.000000	7
7510	-13.000000	8
7510	-15.000000	9
8010	-1.000000	2
8010	-3.000000	3
8010	-5.000000	4
8010	-7.000000	5
8010	-9.000000	6
8010	-11.000000	7
8010	-13.000000	8
8010	-15.000000	9
8510	-1.000000	2
8510	-3.000000	3
8510	-5.000000	4
8510	-7.000000	5
8510	-9.000000	6
8510	-11.000000	7
8510	-13.000000	8
8510	-15.000000	9
9010	-1.000000	2
9010	-3.000000	3
9010	-5.000000	4
9010	-7.000000	5
9010	-9.000000	6
9010	-11.000000	7
9010	-13.000000	8
9010	-15.000000	9
9510	-1.000000	2
9510	-3.000000	3
9510	-5.000000	4
9510	-7.000000	5
9510	-9.000000	6
9510	-11.000000	7
9510	-13.000000	8
9510	-15.000000	9
