16      0.045000
32      0.306000
64      2.163000
128     15.685000
256     54.514000
512     340.218994
1024    2697.131104
16      1       2       0.787000
16      1       2       0.742000
16      1       2       0.988000
16      1       2       0.748000
16      1       2       0.681000
16      1       2       0.738000
16      1       2       0.705000
16      1       2       0.777000
16      1       2       0.733000
16      2       2       0.905000
16      2       2       0.880000
16      2       2       0.923000
16      2       2       0.921000
16      2       2       0.878000
16      2       2       0.817000
16      2       2       0.865000
16      2       2       0.917000
16      2       2       0.787000
16      4       2       1.283000
16      4       2       1.256000
16      4       2       1.196000
16      4       2       1.215000
16      4       2       1.141000
16      4       2       1.301000
16      4       2       1.242000
16      4       2       0.978000
16      4       2       1.286000
16      8       2       1.786000
16      8       2       1.846000
16      8       2       1.793000
16      8       2       1.950000
16      8       2       1.798000
16      8       2       1.732000
16      8       2       1.671000
16      8       2       1.745000
16      8       2       1.798000
16      16      2       41.479000
16      16      2       57.466000
16      16      2       33.984001
16      16      2       69.346001
16      16      2       33.918999
16      16      2       44.983002
16      16      2       34.078999
16      16      2       45.608002
16      16      2       17.813999
16      32      2       141.427994
16      32      2       129.389008
16      32      2       93.415001
16      32      2       145.300995
16      32      2       182.466003
16      32      2       114.483002
16      32      2       160.703995
16      32      2       153.201996
16      32      2       106.574997
16      64      2       92.529999
16      64      2       185.334000
16      64      2       171.768997
16      64      2       219.509003
16      64      2       201.871002
16      64      2       140.910004
16      64      2       157.884995
16      64      2       164.110001
16      64      2       213.520004
32      1       4       0.684000
32      1       4       0.709000
32      1       4       0.651000
32      1       4       1.347000
32      1       4       1.406000
32      1       4       1.371000
32      1       4       1.380000
32      1       4       1.364000
32      1       4       1.399000
32      2       4       1.351000
32      2       4       1.507000
32      2       4       1.020000
32      2       4       1.114000
32      2       4       1.450000
32      2       4       1.308000
32      2       4       1.393000
32      2       4       1.312000
32      2       4       1.399000
32      4       4       1.830000
32      4       4       1.815000
32      4       4       1.774000
32      4       4       1.694000
32      4       4       1.727000
32      4       4       1.719000
32      4       4       1.713000
32      4       4       1.766000
32      4       4       1.700000
32      8       4       2.471000
32      8       4       2.442000
32      8       4       2.526000
32      8       4       2.430000
32      8       4       2.369000
32      8       4       2.445000
32      8       4       2.441000
32      8       4       2.414000
32      8       4       2.356000
32      16      4       4.270000
32      16      4       4.601000
32      16      4       37.887001
32      16      4       44.999001
32      16      4       21.725000
32      16      4       21.982000
32      16      4       36.167999
32      16      4       53.590000
32      16      4       2.009000
32      32      4       329.269012
32      32      4       273.252014
32      32      4       309.304993
32      32      4       297.388000
32      32      4       356.704010
32      32      4       297.658997
32      32      4       282.497986
32      32      4       261.588013
32      32      4       357.225006
32      64      4       309.513000
32      64      4       413.740997
32      64      4       316.709015
32      64      4       407.678986
32      64      4       353.122986
32      64      4       333.002014
32      64      4       444.614990
32      64      4       316.829010
32      64      4       468.615997
64      1       8       1.683000
64      1       8       1.627000
64      1       8       3.843000
