16      0.044000
32      0.316000
64      2.124000
128     13.751000
256     48.390999
512     334.389008
1024    2644.566895
16      2       2       0.403000
16      4       2       0.855000
16      8       2       1.150000
16      16      2       2.117000
16      32      2       155.311996
16      64      2       148.121002
32      2       4       0.647000
32      4       4       1.345000
32      8       4       1.831000
32      16      4       2.973000
32      32      4       430.537994
64      2       8       1.617000
64      4       8       2.633000
64      8       8       3.221000
64      16      8       5.396000
64      32      8       683.664001
64      64      8       634.395020
128     2       16      6.179000
128     4       16      7.985000
128     8       16      7.295000
128     16      16      18.652000
128     32      16      1822.973022
128     64      16      1178.807983
256     2       32      29.934999
256     4       32      27.676001
256     8       32      23.826000
256     16      32      21.198000
256     32      32      3493.301025
256     64      32      2139.900879
512     2       64      189.464005
512     4       64      112.607002
512     8       64      68.045998
512     16      64      93.253998
512     32      64      6558.376953
512     64      64      4047.739014
1024    2       128     1374.578979
1024    4       128     769.421997
1024    8       128     523.530029
1024    16      128     576.481018
1024    32      128     13066.925781
1024    64      128     8533.180664
