12101.781608    1       1
239.832984      2       1
144.505862      2       2
186.282817      4       1
147.653477      4       2
298.513122      4       4
207.008148      8       1
178.004680      8       2
281.960160      8       4
153.754350      8       8
329.012206      16      1
131.253312      16      2
167.854575      16      4
246.909914      16      8
128.003700      16      16
256.309911      32      1
133.304145      32      2
286.768800      32      4
271.213597      32      8
1249.610117     32      16
150443.395777   32      32
2152.855170     64      1
2126.209370     64      2
1078.581989     64      4
24233.587713    64      8
946.337742      64      16
109119.918029   64      32
264899.018432   64      64
999.797854      128     1
528.150305      128     2
416.394401      128     4
592.748148      128     8
557.568678      128     16
1063.223348     128     26
35668.073101    128     32
971.863011      128     36
492526.403932   128     46
628517.918742   128     56
698263.666155   128     64
676534.764380   128     66
609465.502274   128     76
686673.716868   128     86
646062.735372   128     96
565069.268314   128     106
598608.493346   128     116
608993.213570   128     126
584783.755216   128     128
1320.370504     256     1
1283.791429     256     2
709.689335      256     4
604.286049      256     8
1012.879056     256     16
345189.505986   256     32
403570.622416   256     64
396170.825660   256     128
325676.859284   256     256
1037.480586     512     1
749.477451      512     2
1150.153411     512     4
631.840917      512     8
2228.952213     512     16
36524.689987    512     32
196632.457878   512     64
376486.304295   512     128
339178.235974   512     256
316492.272112   512     512
