1061.155965     1       1
230.206707      2       1
580.050469      2       2
503.056932      4       1
918.142869      4       2
202.243226      4       4
328.699364      8       1
1925.097860     8       2
279.433352      8       4
911.282594      8       8
411.861785      16      1
639.639227      16      2
908.547706      16      4
250.497026      16      8
671.272356      16      16
755.166925      32      1
346.186295      32      2
778.561293      32      4
226.188120      32      8
192.481467      32      16
186.037762      32      32
1024.940472     64      1
977.396236      64      2
839.754382      64      4
362.015195      64      8
870.486778      64      16
549.239389      64      32
567.613346      64      64
495.023223      128     1
292.619333      128     2
330.693924      128     4
238.933594      128     8
694.546840      128     16
189.885318      128     32
925.298881      128     64
543.922902      128     128
1013.602345     256     1
330.637073      256     2
832.088801      256     4
153.606592      256     8
550.892544      256     16
916.270503      256     32
169.907905      256     64
631.675787      256     128
290.504979      256     256
167.050647      512     1
1112.454800     512     2
576.486841      512     4
844.184257      512     8
224.589129      512     16
1074.881680     512     32
242.872956      512     64
152.815084      512     128
187.965424      512     256
