660.392026      1       1
791.151146      2       1
893.603286      2       2
802.043724      4       1
1225.368331     4       2
1538.100686     4       4
1288.559278     8       1
633.897928      8       2
404.990082      8       4
602.946479      8       8
813.278199      16      1
1031.122914     16      2
676.197132      16      4
142.281086      16      8
242.843258      16      16
184.312161      32      1
230.101624      32      2
224.509925      32      4
100.858930      32      8
100.824336      32      16
206.886953      32      32
931.480333      64      1
666.596889      64      2
355.906288      64      8
192.363480      64      16
859.105773      64      32
759.240931      64      64
376.613293      128     1
582.055030      128     2
231.142187      128     4
1150.764355     128     8
662.139352      128     16
1470.222923     128     32
1219.215849     128     64
393.199508      128     128
750.600262      256     1
260.091142      256     2
394.462363      256     4
251.944442      256     8
97.420962       256     16
236.994301      256     32
187.177059      256     64
399.245435      256     128
135.954912      256     256
197.499353      512     1
170.146751      512     2
206.948299      512     4
301.095637      512     8
245.162462      512     16
193.604309      512     32
280.634611      512     64
199.657814      512     128
