0 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 1 	 2000 	 19725.756246
1 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 1 	 2000 	 27023.086883
2 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 1 	 2000 	 29253.985865
3 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 1 	 2000 	 25196.896433
0 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 1 	 2000 	 29694.955175
1 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 1 	 2000 	 30136.825611
2 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 1 	 2000 	 50194.194799
3 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 1 	 2000 	 12984.178174
0 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 1 	 2000 	 55402.888118
1 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 1 	 2000 	 30346.572119
2 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 1 	 2000 	 38204.191795
3 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 1 	 2000 	 25768.009516
0 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 1 	 2000 	 21801.107709
1 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 1 	 2000 	 35459.421843
2 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 1 	 2000 	 54981.213190
3 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 1 	 2000 	 16843.500841
0 	 0.090000 	 0.010000 	 0.900000 	 32 	4000 	 10 	 32 	 1 	 2000 	 64323.315134
1 	 0.090000 	 0.010000 	 0.900000 	 32 	4000 	 10 	 32 	 1 	 2000 	 55952.883926
2 	 0.090000 	 0.010000 	 0.900000 	 32 	4000 	 10 	 32 	 1 	 2000 	 32570.196555
3 	 0.090000 	 0.010000 	 0.900000 	 32 	4000 	 10 	 32 	 1 	 2000 	 27067.287907
0 	 0.450000 	 0.050000 	 0.900000 	 32 	4000 	 10 	 32 	 1 	 2000 	 25112.403959
1 	 0.450000 	 0.050000 	 0.900000 	 32 	4000 	 10 	 32 	 1 	 2000 	 26918.767720
2 	 0.450000 	 0.050000 	 0.900000 	 32 	4000 	 10 	 32 	 1 	 2000 	 24744.500577
3 	 0.450000 	 0.050000 	 0.900000 	 32 	4000 	 10 	 32 	 1 	 2000 	 12982.843842
0 	 0.090000 	 0.010000 	 0.990000 	 32 	4000 	 10 	 32 	 1 	 2000 	 36566.629581
1 	 0.090000 	 0.010000 	 0.990000 	 32 	4000 	 10 	 32 	 1 	 2000 	 27046.545030
2 	 0.090000 	 0.010000 	 0.990000 	 32 	4000 	 10 	 32 	 1 	 2000 	 48421.005104
3 	 0.090000 	 0.010000 	 0.990000 	 32 	4000 	 10 	 32 	 1 	 2000 	 35825.423149
0 	 0.450000 	 0.050000 	 0.990000 	 32 	4000 	 10 	 32 	 1 	 2000 	 35702.905132
1 	 0.450000 	 0.050000 	 0.990000 	 32 	4000 	 10 	 32 	 1 	 2000 	 50507.218371
2 	 0.450000 	 0.050000 	 0.990000 	 32 	4000 	 10 	 32 	 1 	 2000 	 41919.997998
3 	 0.450000 	 0.050000 	 0.990000 	 32 	4000 	 10 	 32 	 1 	 2000 	 11383.237495
0 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 2 	 2000 	 9420.825188
1 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 2 	 2000 	 8912.900385
2 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 2 	 2000 	 5005.844867
3 	 0.090000 	 0.010000 	 0.500000 	 32 	4000 	 10 	 32 	 2 	 2000 	 3982.905638
0 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 2 	 2000 	 6051.902208
1 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 2 	 2000 	 5081.690615
2 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 2 	 2000 	 6779.271318
3 	 0.450000 	 0.050000 	 0.500000 	 32 	4000 	 10 	 32 	 2 	 2000 	 3614.782211
0 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 2 	 2000 	 5113.976592
1 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 2 	 2000 	 8832.059356
2 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 2 	 2000 	 8004.608145
3 	 0.090000 	 0.010000 	 0.750000 	 32 	4000 	 10 	 32 	 2 	 2000 	 6959.688076
0 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 2 	 2000 	 7218.434224
1 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 2 	 2000 	 6702.025319
2 	 0.450000 	 0.050000 	 0.750000 	 32 	4000 	 10 	 32 	 2 	 2000 	 5587.324259
