206461.108391   1       1 
205623.694035   2       1 
206956.226553   2       2 
202585.641286   4       1 
209488.718167   4       2 
201790.415158   4       4 
203401.978693   8       1 
209297.891942   8       2 
204061.700431   8       4 
198826.798185   8       8 
205041.061843   16      1 
203974.985108   16      2 
201252.331117   16      4 
203729.773125   16      8 
202759.016481   16      16 
208067.482754   32      1 
206224.943162   32      2 
206009.820071   32      4 
205348.999824   32      8 
204034.688213   32      16 
205025.690105   32      32 
204903.944434   64      1 
205347.308076   64      2 
202613.128937   64      4 
203657.926382   64      8 
205306.502439   64      16 
204227.563424   64      32 
209555.243869   64      64 
201092.485945   128     1 
202270.927148   128     2 
203106.784402   128     4 
195774.953672   128     8 
205445.543776   128     16 
201811.858966   128     32 
205987.212149   128     64 
206840.377046   128     128 
204976.649703   256     1 
208392.042940   256     2 
205167.845913   256     4 
204277.140935   256     8 
198645.846290   256     16 
202527.186475   256     32 
203080.543151   256     64 
201149.646253   256     128 
201053.660538   256     256 
199099.327898   512     1 
205146.000819   512     2 
207939.586128   512     4 
198916.866300   512     8 
203374.958691   512     16 
208876.897550   512     32 
201696.599626   512     64 
200319.045243   512     128 
200963.052466   512     256 
208875.380917   512     512
