22867.963928    2       1 
22729.558473    2       2 
22991.144955    4       1 
22917.327133    4       2 
22992.314276    4       3 
22829.978308    4       4 
23189.641844    8       1 
23625.308751    8       2 
23256.656487    8       3 
23299.397868    8       4 
23574.096214    8       5 
23046.987406    8       6 
22969.593068    8       7 
22900.297439    8       8 
23391.066226    16      1 
23406.801183    16      2 
23119.035110    16      3 
23024.756002    16      4 
23010.829084    16      5 
22800.202334    16      6 
23085.513651    16      7 
23290.747923    16      8 
23366.934930    16      9 
23505.809826    16      10 
22838.669383    16      11 
23227.705393    16      12 
23065.182668    16      13 
23198.137540    16      14 
22613.231235    16      15 
22858.531298    16      16
