71440.704538    1       1 
1079562.932313  2       1 
1063520.188735  2       2 
1390179.808846  4       1 
1319926.911494  4       2 
1242636.362408  4       4 
1301278.161764  8       1 
1325164.352950  8       2 
1372336.686782  8       4 
1297731.942061  8       8 
1139011.086384  16      1 
1516460.659850  16      2 
1468062.412904  16      4 
1412158.132526  16      8 
1315587.374859  16      16 
871953.068824   32      1 
1350309.369877  32      2 
1162450.297735  32      4 
1374236.654545  32      8 
1175578.346756  32      16 
1187807.159758  32      32 
1463395.956246  64      1 
1682822.798358  64      2 
1602871.938113  64      4 
1453023.910100  64      8 
1264532.869793  64      16 
1113361.368189  64      32 
1033857.005964  64      64 
872955.993393   128     1 
1070667.973434  128     2 
935799.513595   128     4 
753057.492651   128     8 
927353.621260   128     16 
825226.317222   128     32 
728315.679737   128     64 
765123.370766   128     128 
803108.493277   256     1 
1064776.990929  256     2 
985772.411305   256     4 
1333920.005957  256     8 
1251375.003009  256     16 
1428657.535205  256     32 
1094643.901816  256     64 
955944.180718   256     128 
857031.830607   256     256 
